old_row_id,new_row_id,row_kind,vn_ids,finding_id
GEO-0268,MGEO-0268,mining_geometry,EV-VN-S026-0160,DOCS_LEAKAGE-019
GEO-0269,MGEO-0269,mining_geometry,EV-VN-S027-0007,DOCS_LEAKAGE-019
GEO-0270,MGEO-0270,mining_geometry,EV-VN-S027-0017,DOCS_LEAKAGE-019
GEO-0271,MGEO-0271,mining_geometry,EV-VN-S027-0028,DOCS_LEAKAGE-019
GEO-0272,MGEO-0272,mining_geometry,EV-VN-S027-0051,DOCS_LEAKAGE-019
GEO-0273,MGEO-0273,mining_geometry,EV-VN-S027-0053,DOCS_LEAKAGE-019
GEO-0274,MGEO-0274,mining_geometry,EV-VN-S027-0055,DOCS_LEAKAGE-019
GEO-0275,MGEO-0275,mining_geometry,EV-VN-S028-0037,DOCS_LEAKAGE-019
GEO-0276,MGEO-0276,mining_geometry,EV-VN-S028-0038,DOCS_LEAKAGE-019
GEO-0277,MGEO-0277,mining_geometry,EV-VN-S028-0047,DOCS_LEAKAGE-019
GEO-0278,MGEO-0278,mining_geometry,EV-VN-S028-0052,DOCS_LEAKAGE-019
GEO-0279,MGEO-0279,mining_geometry,EV-VN-S028-0074,DOCS_LEAKAGE-019
GEO-0280,MGEO-0280,mining_geometry,EV-VN-S028-0080,DOCS_LEAKAGE-019
GEO-0281,MGEO-0281,mining_geometry,EV-VN-S028-0139,DOCS_LEAKAGE-019
